"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description"
"TAI","CH/HAZARD",1,True,True,True,0,"","Hazardous Area Certification","Hazardous Area Certification"
"TAI","CH/TX",2,True,True,True,0,"","Transmitter","Transmitter"
"TAI","CH/COMMS",3,True,True,True,0,"","Transmitter Comms","Transmitter Comms"
"TAI","CH/HEADTYPE",5,True,True,True,0,"","Head Type","Head Type"
"TAI","CH/DISPLAY",6,True,True,True,0,"","Display","Display"
"TAI","CH/HEADCABLECON",7,True,True,True,0,"","Head Cable Connection","Head Cable Connection"
"TAI","CH/HEADCON",8,True,True,True,0,"","Head Connection","Head Connection"
"TAI","CH/EXTENSION",9,True,True,True,0,"","Inset Extension","Inset Extension"
"TAI","CH/EXTENSIONLEN",10,True,True,True,256,"","Extension Length (mm)","Extension Length (mm)"
"TAI","CH/SENSORTYPE",11,True,True,True,0,"","Sensor Type","Sensor Type"
"TAI","CH/SENSORTOL",12,True,True,True,0,"","Sensor Tolerance","Sensor Tolerance"
"TAI","CH/SENSORCON",13,True,True,True,0,"","Sensor Connection","Sensor Connection"
"TAI","CH/INSERTIONLEN",14,True,True,True,256,"","Insertion Length (mm)","Insertion Length (mm)"
"TAI","CH/SENSORDIA",15,True,True,True,0,"","Sensor Diameter","Sensor Diameter"
"TAI","CH/SHEATHMAT",16,True,True,True,0,"","Sheath Material","Sheath Material"
"TAI","CH/SENSORTERM",17,True,True,True,0,"","Sensor Termination","Sensor Termination"
"TAI","CH/TX_UNITS",18,False,False,True,0,"NOT(CH/TX = Y0)","Transmitter Units","Transmitter Units"
"TAI","CH/TX_RANGEMIN",19,False,False,True,256,"NOT(CH/TX = Y0)","Temperature Range - Min","Temperature Range - Min"
"TAI","CH/TX_RANGEMAX",20,False,False,True,256,"NOT(CH/TX = Y0)","Temperature Range - Max","Temperature Range - Max"
"TAI","CH/TX_BURNOUT",21,False,False,True,0,"CH/COMMS IN (H5,H7)","Output on Error (Burnout)","Output on Error (Burnout)"
"TAI","CH/TX_HOTBACKUP",22,False,False,True,0,"CH/TX = A3","Auto Redundancy (Hot Backup)","Auto Redundancy (Hot Backup)"
"TAI","CH/TX_SIL",23,False,False,True,0,"NOT(CH/TX = Y0)","SIL 2","SIL 2"
