ProductCode,SelectionGroup,GrpOrder,PartNumber,Order,Active,DefaultItem,ExclusionRule,Cost,Name,Description,AdditionalData,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
TAI,CH/HAZARD,1,Y0,1,TRUE,FALSE,,0,Safe Area - Non Certified,Safe Area - Non Certified,,,,,,,,,,,
TAI,CH/HAZARD,1,A0,2,TRUE,FALSE,,0,ATEX Ex i - with installed certified transmitter,ATEX Ex i - with installed certified transmitter,,,,,,,,,,,
TAI,CH/HAZARD,1,A1,3,TRUE,FALSE,,0,ATEX Ex d,ATEX Ex d,,,,,,,,,,,
TAI,CH/HAZARD,1,A2,4,TRUE,FALSE,,0,ATEX Ex n,ATEX Ex n,,,,,,,,,,,
TAI,CH/HAZARD,1,B0,5,TRUE,FALSE,,0,IECEx i - with installed certified transmitter,IECEx i - with installed certified transmitter,,,,,,,,,,,
TAI,CH/HAZARD,1,B1,6,TRUE,FALSE,,0,IECEx d,IECEx d,,,,,,,,,,,
TAI,CH/HAZARD,1,F0,7,TRUE,FALSE,,0,FM Intrinsically Safe - with installed certified transmitter,FM Intrinsically Safe - with installed certified transmitter,,,,,,,,,,,
TAI,CH/HAZARD,1,S0,8,TRUE,FALSE,,0,Simple Apparatus Equipment - For intrinsically safe installations without transmitter,Simple Apparatus Equipment - For intrinsically safe installations without transmitter,,,,,,,,,,,
TAI,CH/TX,2,Y0,1,TRUE,FALSE,CH/HAZARD=A0 OR CH/HAZARD=B0 OR CH/HAZARD=FM,0,None,None,,,,,,,,,,,
TAI,CH/TX,2,Z9,2,TRUE,FALSE,,0,Customer Specific,Customer Specific,,,,,,,,,,,
TAI,CH/TX,2,A2,3,TRUE,FALSE,,0,"TTH200 - Smart HART, single sensor input","TTH200 - Smart HART, single sensor input",,,,,,,,,,,
TAI,CH/TX,2,A3,4,TRUE,FALSE,,0,"TTH300 - Smart HART, extended functionality, dual sensor input","TTH300 - Smart HART, extended functionality, dual sensor input",,,,,,,,,,,
TAI,CH/COMMS,3,Y0,1,TRUE,FALSE,NOT(CH/TX=Y0),0,None,None,,,,,,,,,,,
TAI,CH/COMMS,3,H5,2,TRUE,FALSE,CH/TX=Y0,0,HART 5 (4...20mA),HART 5 (4...20mA),,,,,,,,,,,
TAI,CH/COMMS,3,H7,3,TRUE,FALSE,CH/TX=Y0 OR CH/TX=A2,0,HART 7 (4...20mA),HART 7 (4...20mA),,,,,,,,,,,
TAI,CH/COMMS,3,P1,4,TRUE,FALSE,CH/TX=Y0 OR CH/TX=A2,0,Profibus PA,Profibus PA,,,,,,,,,,,
TAI,CH/COMMS,3,F1,5,TRUE,FALSE,CH/TX=Y0 OR CH/TX=A2,0,Foundation Fieldbus - H1,Foundation Fieldbus - H1,,,,,,,,,,,
TAI,CH/UNUSED,5,00,1,FALSE,FALSE,,0,Unused,Unused,,,,,,,,,,,
TAI,CH/HEADTYPE,5,L1,1,TRUE,FALSE,,0,"AGL - Aluminium Epoxy Coated, Std Blind Lid","AGL - Aluminium Epoxy Coated, Std Blind Lid",,,,,,,,,,,
TAI,CH/HEADTYPE,5,L2,2,TRUE,FALSE,,0,"AGL H - Aluminium Epoxy Coated, High Blind Lid","AGL H - Aluminium Epoxy Coated, High Blind Lid",,,,,,,,,,,
TAI,CH/HEADTYPE,5,L3,3,TRUE,FALSE,,0,"AGL HD - Aluminium Epoxy Coated, High Window Lid","AGL HD - Aluminium Epoxy Coated, High Window Lid",,,,,,,,,,,
TAI,CH/HEADTYPE,5,S1,4,TRUE,FALSE,,0,"AGS - 316L St Steel, Natural Finish, Std Blind Lid","AGS - 316L St Steel, Natural Finish, Std Blind Lid",,,,,,,,,,,
TAI,CH/HEADTYPE,5,S2,5,TRUE,FALSE,,0,"AGS H - 316L St Steel, Natural Finish, High Blind Lid","AGS H - 316L St Steel, Natural Finish, High Blind Lid",,,,,,,,,,,
TAI,CH/HEADTYPE,5,S3,6,TRUE,FALSE,,0,"AGS HD  - 316L St Steel, Natural Finish, High Window Lid","AGS HD  - 316L St Steel, Natural Finish, High Window Lid",,,,,,,,,,,
TAI,CH/HEADTYPE,5,L4,7,TRUE,FALSE,,0,"AGL F - Aluminium Epoxy Coated, Std Blind Lid, Field Housing","AGL F - Aluminium Epoxy Coated, Std Blind Lid, Field Housing",,,,,,,,,,,
TAI,CH/HEADTYPE,5,L5,8,TRUE,FALSE,,0,"AGL FH - Aluminium Epoxy Coated, High Blind Lid, Field Housing","AGL FH - Aluminium Epoxy Coated, High Blind Lid, Field Housing",,,,,,,,,,,
TAI,CH/HEADTYPE,5,L6,9,TRUE,FALSE,,0,"AGL FD - Aluminium Epoxy Coated, Window Lid, Field Housing","AGL FD - Aluminium Epoxy Coated, Window Lid, Field Housing",,,,,,,,,,,
